IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
175.45.176.1,0,149.171.126.15,0,89,85.0,6264,0,58,0,0,118855,1,Analysis
59.166.0.6,40622,149.171.126.4,21,6,1.0,2934,3740,52,54,27,26,0,Benign
59.166.0.4,37792,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.0,5468,149.171.126.7,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.1,29845,149.171.126.0,28020,6,36.0,4862,80850,84,86,27,38,0,Benign
59.166.0.5,58339,149.171.126.5,80,6,7.0,17850,1087890,334,746,27,5604,0,Benign
175.45.176.2,1648,149.171.126.18,135,6,127.0,576,336,10,8,19,544,1,Fuzzers
59.166.0.6,50981,149.171.126.2,21,6,1.0,2934,3742,52,54,27,1129,0,Benign
59.166.0.3,59221,149.171.126.7,111,17,11.0,568,320,4,4,0,4,0,Benign
59.166.0.7,53614,149.171.126.4,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.6,11940,149.171.126.6,80,6,7.0,1684,10168,14,18,27,0,0,Benign
59.166.0.8,1175,149.171.126.1,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.3,42785,149.171.126.1,38033,6,0.0,424,8824,8,12,27,580,0,Benign
59.166.0.0,5237,149.171.126.7,44655,6,36.0,2438,19422,38,40,27,11,0,Benign
59.166.0.2,24051,149.171.126.0,6881,6,0.0,1540,1644,16,18,27,0,0,Benign
59.166.0.4,8935,149.171.126.3,22,6,92.0,5928,8010,62,58,27,33,0,Benign
59.166.0.0,17250,149.171.126.7,5190,6,0.0,3848,19084,50,52,27,373,0,Benign
59.166.0.7,29982,149.171.126.6,143,6,4.0,7812,15360,122,126,27,0,0,Benign
59.166.0.5,64690,149.171.126.4,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.2,8438,149.171.126.5,6650,6,36.0,2438,20116,38,40,27,17,0,Benign
59.166.0.3,60571,149.171.126.1,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.0,63826,149.171.126.8,1097,6,0.0,3806,52106,64,66,27,0,0,Benign
59.166.0.9,38789,149.171.126.9,38928,6,36.0,4014,58994,68,70,27,118,0,Benign
59.166.0.5,12051,149.171.126.9,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.5,63077,149.171.126.0,21,6,1.0,2934,3742,52,54,27,949,0,Benign
59.166.0.0,44314,149.171.126.0,6488,6,36.0,4238,60964,72,74,27,49,0,Benign
59.166.0.3,24004,149.171.126.3,1933,6,36.0,2438,16718,38,36,27,16,0,Benign
59.166.0.3,35110,149.171.126.8,111,17,0.0,568,312,4,4,0,0,0,Benign
59.166.0.3,46969,149.171.126.4,80,6,7.0,1684,10168,14,18,27,1082,0,Benign
59.166.0.9,29191,149.171.126.0,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.8,23163,149.171.126.7,53063,6,0.0,8928,424,14,8,27,0,0,Benign
59.166.0.3,23316,149.171.126.1,111,17,11.0,568,312,4,4,0,4,0,Benign
175.45.176.0,0,149.171.126.17,0,141,0.0,200,0,2,0,0,0,1,Generic
59.166.0.5,24578,149.171.126.4,46112,6,0.0,8928,320,14,6,27,0,0,Benign
59.166.0.4,50828,149.171.126.0,57667,17,11.0,528,304,4,4,0,1,0,Benign
59.166.0.8,64097,149.171.126.5,80,6,7.0,1684,10168,14,18,27,1119,0,Benign
175.45.176.1,7001,149.171.126.15,7000,17,223.0,538,614,8,8,0,402,1,Exploits
59.166.0.2,47862,149.171.126.5,53,17,5.0,130,162,2,2,0,0,0,Benign
59.166.0.0,26141,149.171.126.0,24352,6,0.0,3390,40254,56,58,27,0,0,Benign
59.166.0.3,34865,149.171.126.7,80,6,7.0,1684,10168,14,18,27,1005,0,Benign
59.166.0.0,44588,149.171.126.2,6817,6,0.0,3926,51666,66,66,27,0,0,Benign
59.166.0.1,32530,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.0,24333,149.171.126.4,111,17,11.0,568,304,4,4,0,5,0,Benign
59.166.0.9,38047,149.171.126.9,25,6,3.0,37938,3380,54,42,27,21,0,Benign
59.166.0.5,49260,149.171.126.6,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.0,21974,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.9,60351,149.171.126.9,80,6,7.0,1580,10168,12,18,27,1138,0,Benign
59.166.0.4,58053,149.171.126.7,80,6,7.0,1684,10168,14,18,27,0,0,Benign
59.166.0.1,62517,149.171.126.2,6881,6,37.0,1540,1644,16,18,27,116,0,Benign
59.166.0.4,2373,149.171.126.6,18375,6,0.0,320,1934,6,8,27,46,0,Benign
59.166.0.7,28879,149.171.126.6,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.6,34042,149.171.126.8,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.3,32107,149.171.126.8,43051,6,36.0,2230,15332,34,38,27,24,0,Benign
59.166.0.8,63528,149.171.126.0,1182,6,36.0,3078,33374,50,50,27,176,0,Benign
59.166.0.0,29770,149.171.126.7,8136,6,0.0,424,8824,8,12,27,223,0,Benign
59.166.0.0,32683,149.171.126.7,5190,6,0.0,1036,2262,12,12,27,3,0,Benign
59.166.0.3,42007,149.171.126.7,4086,6,0.0,2230,14370,34,36,27,0,0,Benign
59.166.0.7,4454,149.171.126.1,111,17,11.0,568,304,4,4,0,4,0,Benign
59.166.0.4,16639,149.171.126.8,34096,6,0.0,2542,23122,40,42,27,0,0,Benign
59.166.0.2,58980,149.171.126.5,6881,6,0.0,24952,1094788,444,858,27,4294951,0,Benign
59.166.0.2,39375,149.171.126.6,25,6,3.0,37386,3380,52,42,27,56,0,Benign
175.45.176.0,63414,149.171.126.19,179,6,13.0,584,336,10,8,19,694,0,Benign
59.166.0.3,22365,149.171.126.8,59717,17,11.0,536,304,4,4,0,254,0,Benign
175.45.176.0,30238,149.171.126.16,80,6,7.0,726,336,10,8,19,790,1,Reconnaissance
59.166.0.4,24828,149.171.126.8,60387,6,0.0,2974,33122,48,50,27,0,0,Benign
175.45.176.2,9477,149.171.126.13,3306,6,20.0,596,634,10,10,19,893,0,Benign
59.166.0.4,54461,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.3,50151,149.171.126.9,22,6,92.0,6032,8010,64,58,27,2165,0,Benign
59.166.0.8,16350,149.171.126.3,37498,17,11.0,536,304,4,4,0,2,0,Benign
59.166.0.3,59351,149.171.126.5,53,17,5.0,132,164,2,2,0,1,0,Benign
59.166.0.7,48394,149.171.126.3,5190,6,0.0,2048,2410,24,26,27,55,0,Benign
59.166.0.1,27636,149.171.126.7,5849,6,0.0,320,1866,6,8,27,3,0,Benign
59.166.0.7,52894,149.171.126.8,143,6,4.0,7812,14870,122,126,27,1069,0,Benign
59.166.0.8,62032,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.1,38083,149.171.126.1,8424,6,36.0,3926,57982,66,68,27,50,0,Benign
59.166.0.9,16052,149.171.126.1,35493,6,36.0,4238,60964,72,74,27,66,0,Benign
59.166.0.9,55310,149.171.126.1,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.4,18490,149.171.126.6,11703,6,0.0,4550,72268,78,82,27,0,0,Benign
59.166.0.0,8699,149.171.126.9,15381,6,36.0,3614,43716,60,62,27,195,0,Benign
175.45.176.2,65354,149.171.126.10,110,6,2.68,2702,385852,64,306,27,6379,1,Exploits
175.45.176.1,40545,149.171.126.12,1723,6,0.0,2504,256,10,6,19,1295,0,Benign
59.166.0.9,54932,149.171.126.3,11922,6,0.0,424,8824,8,12,27,4,0,Benign
59.166.0.0,11684,149.171.126.3,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.1,49227,149.171.126.5,53,17,0.0,130,162,2,2,0,0,0,Benign
59.166.0.7,22277,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.3,18476,149.171.126.9,8268,17,11.0,544,304,4,4,0,1,0,Benign
59.166.0.0,44481,149.171.126.3,80,6,7.0,1684,10168,14,18,27,1064,0,Benign
59.166.0.0,1834,149.171.126.5,33292,6,11.0,3688,2456,18,18,27,4,0,Benign
59.166.0.6,37393,149.171.126.2,111,17,0.0,568,312,4,4,0,0,0,Benign
59.166.0.5,50146,149.171.126.3,46161,6,0.0,2542,21874,40,42,27,0,0,Benign
59.166.0.0,45670,149.171.126.8,50158,17,0.0,528,304,4,4,0,0,0,Benign
59.166.0.5,34565,149.171.126.7,53,17,5.0,130,162,2,2,0,0,0,Benign
59.166.0.0,44856,149.171.126.9,6881,6,37.0,1540,1644,16,18,27,18,0,Benign
59.166.0.7,16909,149.171.126.2,11804,17,11.0,512,304,4,4,0,77,0,Benign
59.166.0.9,55283,149.171.126.1,80,6,7.0,1580,10168,12,18,27,1004,0,Benign
59.166.0.2,11815,149.171.126.9,9077,17,0.0,512,304,4,4,0,0,0,Benign
59.166.0.0,8058,149.171.126.2,25,6,3.0,38106,3380,54,42,27,39,0,Benign
59.166.0.9,32928,149.171.126.5,30839,6,0.0,3806,50996,64,66,27,0,0,Benign
175.45.176.0,59392,149.171.126.16,2000,6,164.0,1280,480,12,10,19,604,1,DoS
59.166.0.7,59462,149.171.126.4,80,6,7.0,1684,10168,14,18,27,0,0,Benign
59.166.0.6,30882,149.171.126.8,19518,6,0.0,8928,320,14,6,27,117,0,Benign
59.166.0.8,4634,149.171.126.1,111,17,11.0,568,304,4,4,0,5,0,Benign
59.166.0.9,31707,149.171.126.3,111,17,11.0,568,304,4,4,0,6,0,Benign
175.45.176.1,39931,149.171.126.17,1723,6,0.0,2504,256,10,6,19,739,0,Benign
59.166.0.7,35645,149.171.126.1,41902,6,0.0,3806,53008,64,66,27,0,0,Benign
59.166.0.0,24488,149.171.126.8,6881,6,37.0,1540,1644,16,18,27,21,0,Benign
59.166.0.5,13161,149.171.126.6,6881,6,37.0,12726,548216,220,438,27,270,0,Benign
59.166.0.4,20747,149.171.126.2,53,17,0.0,130,162,2,2,0,0,0,Benign
59.166.0.2,2244,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.1,26344,149.171.126.9,62227,6,36.0,2334,16632,36,38,27,15,0,Benign
175.45.176.1,52321,149.171.126.13,179,6,13.0,522,336,10,8,19,792,1,Fuzzers
59.166.0.1,51099,149.171.126.7,56771,6,36.0,3614,44406,60,62,27,28,0,Benign
59.166.0.5,28368,149.171.126.1,25,6,3.0,37866,3484,54,44,27,517,0,Benign
59.166.0.6,22053,149.171.126.7,6881,6,0.0,13038,548216,226,438,27,0,0,Benign
59.166.0.9,27534,149.171.126.9,6881,6,37.0,13454,548216,234,438,27,2430,0,Benign
59.166.0.3,9609,149.171.126.1,5190,6,0.0,2062,2424,24,26,27,104,0,Benign
59.166.0.1,60032,149.171.126.3,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.0,18865,149.171.126.0,2627,6,0.0,320,1900,6,8,27,2,0,Benign
59.166.0.2,36398,149.171.126.6,25,6,3.0,37366,3380,52,42,27,164,0,Benign
59.166.0.4,28724,149.171.126.9,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.9,43021,149.171.126.3,9579,17,11.0,528,304,4,4,0,1,0,Benign
59.166.0.5,6477,149.171.126.2,6406,6,0.0,2542,21882,40,42,27,0,0,Benign
59.166.0.6,32898,149.171.126.4,80,6,7.0,1684,10168,14,18,27,1536,0,Benign
59.166.0.7,64078,149.171.126.5,111,17,11.0,568,312,4,4,0,4,0,Benign
59.166.0.8,15054,149.171.126.0,35104,6,11.0,4632,2456,18,18,27,4,0,Benign
59.166.0.2,54797,149.171.126.9,30691,6,36.0,2766,28558,44,46,27,14,0,Benign
59.166.0.9,32367,149.171.126.5,53410,17,11.0,528,304,4,4,0,7,0,Benign
59.166.0.3,64462,149.171.126.6,5190,6,0.0,1064,2260,12,12,27,8,0,Benign
59.166.0.8,22289,149.171.126.6,1879,6,36.0,4238,63516,72,74,27,38,0,Benign
59.166.0.6,27561,149.171.126.3,53,17,5.0,130,162,2,2,0,0,0,Benign
59.166.0.5,27002,149.171.126.2,25,6,3.0,37236,3276,52,40,27,0,0,Benign
59.166.0.1,61679,149.171.126.8,11110,17,0.0,528,304,4,4,0,0,0,Benign
59.166.0.5,36505,149.171.126.9,111,17,11.0,568,304,4,4,0,4,0,Benign
59.166.0.6,39436,149.171.126.6,45520,6,0.0,2230,15258,34,36,27,0,0,Benign
59.166.0.8,50791,149.171.126.4,30044,6,11.0,4976,3080,28,30,27,400,0,Benign
59.166.0.6,8933,149.171.126.0,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.5,65418,149.171.126.5,22,6,92.0,3728,5578,32,26,27,956,0,Benign
59.166.0.0,61416,149.171.126.9,22,6,92.0,24344,29452,230,236,27,2959,0,Benign
59.166.0.3,55454,149.171.126.7,60467,6,11.0,4616,3080,28,30,27,1383,0,Benign
59.166.0.1,3465,149.171.126.4,6881,6,37.0,1540,1644,16,18,27,19,0,Benign
59.166.0.1,40773,149.171.126.2,37934,17,11.0,528,304,4,4,0,1,0,Benign
59.166.0.1,56408,149.171.126.4,25,6,3.0,37228,3276,52,40,27,513,0,Benign
59.166.0.7,58418,149.171.126.9,22814,6,36.0,2438,20718,38,40,27,17,0,Benign
59.166.0.5,41940,149.171.126.0,80,6,7.0,1580,10168,12,18,27,1071,0,Benign
59.166.0.3,42131,149.171.126.4,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.2,50105,149.171.126.2,54892,6,0.0,528,8824,10,12,27,406,0,Benign
59.166.0.6,41043,149.171.126.8,8011,6,0.0,3806,50996,64,66,27,0,0,Benign
59.166.0.6,45111,149.171.126.1,46008,6,36.0,4862,80366,84,86,27,49,0,Benign
59.166.0.3,28002,149.171.126.5,58399,6,36.0,2646,26176,42,44,27,26,0,Benign
59.166.0.7,62657,149.171.126.5,13142,6,0.0,424,8824,8,12,27,0,0,Benign
59.166.0.0,27762,149.171.126.5,61321,6,36.0,3806,54798,64,66,27,70,0,Benign
59.166.0.9,40120,149.171.126.7,143,6,4.0,7818,15328,122,126,27,32,0,Benign
59.166.0.0,32168,149.171.126.3,51962,6,36.0,2334,16102,36,38,27,8,0,Benign
59.166.0.3,49975,149.171.126.0,25,6,3.0,37500,3380,52,42,27,0,0,Benign
59.166.0.4,33448,149.171.126.2,80,6,7.0,1044,824,8,10,27,0,0,Benign
59.166.0.6,5580,149.171.126.2,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.7,28497,149.171.126.9,53,17,5.0,130,162,2,2,0,1,0,Benign
59.166.0.9,19557,149.171.126.4,17289,6,0.0,2438,20006,38,40,27,0,0,Benign
59.166.0.1,49191,149.171.126.9,143,6,4.0,7812,14706,122,126,27,0,0,Benign
59.166.0.5,24593,149.171.126.0,5190,6,0.0,1470,1728,22,14,27,0,0,Benign
59.166.0.3,39322,149.171.126.4,7720,6,0.0,2438,19918,38,40,27,0,0,Benign
59.166.0.4,26504,149.171.126.0,80,6,7.0,1684,10168,14,18,27,1118,0,Benign
59.166.0.9,29772,149.171.126.7,80,6,7.0,18474,1087890,346,746,27,4294952,0,Benign
59.166.0.4,51290,149.171.126.0,25,6,3.0,37222,3276,52,40,27,0,0,Benign
59.166.0.9,55088,149.171.126.6,143,6,4.0,7808,15190,122,126,27,0,0,Benign
59.166.0.2,57360,149.171.126.4,21624,6,36.0,2766,25742,44,46,27,17,0,Benign
59.166.0.5,31557,149.171.126.3,51525,6,0.0,4192,2456,18,18,27,0,0,Benign
59.166.0.7,44535,149.171.126.5,6723,6,0.0,5486,95560,96,98,27,0,0,Benign
59.166.0.1,16261,149.171.126.4,111,17,11.0,568,320,4,4,0,4,0,Benign
59.166.0.3,25617,149.171.126.3,61655,6,36.0,4238,60832,72,74,27,55,0,Benign
59.166.0.1,64317,149.171.126.5,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.9,3138,149.171.126.9,39541,6,0.0,2974,33842,48,50,27,0,0,Benign
59.166.0.7,59882,149.171.126.6,6881,6,37.0,2648,69302,36,70,27,1554,0,Benign
59.166.0.3,45387,149.171.126.3,5435,6,0.0,4222,61786,72,74,27,0,0,Benign
59.166.0.4,35498,149.171.126.5,64450,6,36.0,2126,12618,32,34,27,14,0,Benign
59.166.0.3,19666,149.171.126.3,25,6,3.0,37410,3380,52,42,27,0,0,Benign
59.166.0.6,42294,149.171.126.5,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.2,10891,149.171.126.4,80,6,7.0,1580,10168,12,18,27,1113,0,Benign
59.166.0.7,52121,149.171.126.9,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.9,41966,149.171.126.6,111,17,11.0,568,304,4,4,0,4,0,Benign
59.166.0.7,33874,149.171.126.1,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.0,7797,149.171.126.4,5190,6,0.0,2054,2478,22,24,27,21,0,Benign
59.166.0.5,15470,149.171.126.9,22,6,92.0,14512,17446,100,106,27,0,0,Benign
59.166.0.5,56655,149.171.126.0,5190,6,0.0,2054,2478,22,24,27,22,0,Benign
59.166.0.8,33106,149.171.126.7,53,17,5.0,146,178,2,2,0,1,0,Benign
59.166.0.2,40813,149.171.126.8,57521,6,0.0,320,1836,6,8,27,51,0,Benign
59.166.0.0,27188,149.171.126.9,25188,6,0.0,2558,23002,40,42,27,0,0,Benign
59.166.0.0,19093,149.171.126.4,25,6,3.0,37252,3380,52,42,27,482,0,Benign
59.166.0.6,58643,149.171.126.1,80,6,7.0,1580,10168,12,18,27,0,0,Benign
59.166.0.3,3420,149.171.126.4,5190,6,0.0,1920,4312,22,24,27,5,0,Benign
175.45.176.1,1804,149.171.126.11,179,6,13.0,646,256,10,6,19,341,0,Benign
59.166.0.4,25614,149.171.126.0,25,6,3.0,37612,3276,52,40,27,20,0,Benign
59.166.0.3,6964,149.171.126.7,6881,6,37.0,12934,548216,224,438,27,2690,0,Benign
59.166.0.9,49376,149.171.126.2,6881,6,37.0,1540,1644,16,18,27,20,0,Benign
59.166.0.3,53686,149.171.126.5,23722,6,0.0,320,1888,6,8,27,46,0,Benign
59.166.0.3,42851,149.171.126.5,25,6,3.0,37268,3380,52,42,27,21,0,Benign
59.166.0.8,27106,149.171.126.6,25682,6,36.0,2854,30654,46,48,27,23,0,Benign
59.166.0.3,40501,149.171.126.2,6881,6,37.0,13558,548216,236,438,27,5333,0,Benign
59.166.0.3,54682,149.171.126.9,25009,6,0.0,2438,19420,38,40,27,0,0,Benign
175.45.176.3,5002,149.171.126.16,520,17,0.0,1064,0,2,0,0,0,0,Benign
59.166.0.5,59152,149.171.126.8,19954,6,36.0,3614,43086,60,62,27,34,0,Benign
59.166.0.1,58713,149.171.126.2,42678,6,0.0,320,1912,6,8,27,0,0,Benign
59.166.0.5,26855,149.171.126.3,80,6,7.0,1580,10168,12,18,27,1033,0,Benign
59.166.0.4,20307,149.171.126.3,11767,6,36.0,2558,23268,40,42,27,14,0,Benign
59.166.0.2,43094,149.171.126.9,6881,6,0.0,1540,1644,16,18,27,0,0,Benign
59.166.0.8,63410,149.171.126.9,17211,6,36.0,2750,23900,44,42,27,42,0,Benign
59.166.0.8,48645,149.171.126.5,35412,6,0.0,424,8824,8,12,27,257,0,Benign
59.166.0.4,61734,149.171.126.6,53,17,5.0,132,164,2,2,0,1,0,Benign
59.166.0.7,47413,149.171.126.2,1459,6,36.0,2334,16290,36,38,27,21,0,Benign
59.166.0.1,1393,149.171.126.3,80,6,7.0,1580,10168,12,18,27,0,0,Benign
59.166.0.4,53680,149.171.126.1,53,17,5.0,146,178,2,2,0,0,0,Benign
59.166.0.9,34624,149.171.126.9,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.8,15683,149.171.126.2,111,17,11.0,568,320,4,4,0,163,0,Benign
59.166.0.3,63648,149.171.126.1,14108,17,0.0,544,304,4,4,0,0,0,Benign
59.166.0.0,50807,149.171.126.5,29287,6,36.0,2542,21294,40,42,27,21,0,Benign
59.166.0.5,28041,149.171.126.7,53,17,0.0,146,178,2,2,0,0,0,Benign
59.166.0.0,22792,149.171.126.8,6881,6,37.0,1540,1644,16,18,27,18,0,Benign
59.166.0.5,36153,149.171.126.5,34171,6,0.0,2558,23148,40,42,27,0,0,Benign
59.166.0.3,51144,149.171.126.7,5190,6,0.0,1920,4312,22,24,27,6,0,Benign
59.166.0.0,55084,149.171.126.8,25424,6,36.0,2646,24004,42,44,27,12,0,Benign
59.166.0.2,35630,149.171.126.9,25,6,3.0,37298,3380,52,42,27,0,0,Benign
